trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Usher, M D I","5","0","0","0","0","-5","8","0","1","0","12.5","-8","493","36","116","7.3","23.53","-158.33","70","48","269","15","56","5.58","20.82","-103.74","24","8","14","33.33","33.33","2.01","398","32","102","8.04","8.04","-145.83",
"Varian, Roger","22","6","10","27.27","45.45","-3.32","47","9","20","19.15","42.55","-15.42","1251","251","537","20.06","42.93","-197.12","1","2","643","131","266","20.37","41.37","-130.59","361","141","246","39.06","39.06","-35.4","497","87","179","17.51","17.51","-82.51",
"Waggott, Miss Tracy","6","0","1","0","16.67","-6","8","0","1","0","12.5","-8","199","14","39","7.04","19.6","-61.17","21","14","97","9","23","9.28","23.71","-5.67","21","5","9","23.81","23.81","-5.17","153","14","37","9.15","9.15","-15.17",
"Walford, Mark","12","2","3","16.67","25","2.3","19","2","5","10.53","26.32","-4.7","614","61","181","9.93","29.48","-229.99","3","7","347","43","112","12.39","32.28","-75.53","62","22","38","35.48","35.48","-3.9","461","47","139","10.2","10.2","-124.3",
"Walker, Ed","14","1","5","7.14","35.71","-10.75","27","2","10","7.41","37.04","43.25","791","100","264","12.64","33.38","-191.97","5","11","420","46","141","10.95","33.57","-82.66","126","40","69","31.75","31.75","-16.51","444","65","155","14.64","14.64","-96.34",
"Watson, Archie","23","5","8","21.74","34.78","5.63","48","8","11","16.67","22.92","-3.62","1206","176","379","14.59","31.43","-233.31","1","2","677","95","203","14.03","29.99","-111.41","179","71","107","39.66","39.66","-9.25","707","87","205","12.31","12.31","-156.41",
"West, Adam","5","1","1","20","20","18","9","1","3","11.11","33.33","14","530","42","104","7.92","19.62","-114.75","1","1","222","19","46","8.56","20.72","-42.47","33","13","21","39.39","39.39","5.92","373","37","85","9.92","9.92","-19.53",
"Whitaker, Simon","5","0","1","0","20","-5","8","0","2","0","25","-8","215","17","63","7.91","29.3","-87.34","264","57","101","8","34","7.92","33.66","-39.92","11","2","4","18.18","18.18","-4.25","185","16","59","8.65","8.65","-61.84",
"Wigham, M","1","0","0","0","0","-1","2","1","1","50","50","2","153","15","44","9.8","28.76","-55.17","12","2","51","4","11","7.84","21.57","-20","25","5","18","20","20","-10.88","136","13","39","9.56","9.56","-57.42",
"Williams, Ian","17","1","4","5.88","23.53","-14.5","36","2","8","5.56","22.22","-31.88","1230","115","317","9.35","25.77","-307.92","3","15","577","57","136","9.88","23.57","-185.2","139","39","78","28.06","28.06","-25.97","954","101","259","10.59","10.59","-133.67",
"Williams, S C","7","0","0","0","0","-7","17","0","3","0","17.65","-17","825","87","221","10.55","26.79","-334.15","17","20","394","39","99","9.9","25.13","-112.53","99","36","63","36.36","36.36","4.01","626","66","171","10.54","10.54","-293.89",
"Winks, P","1","0","0","0","0","-1","2","0","0","0","0","-2","80","2","2","2.5","2.5","-9","445","51","42","0","0","0","0","-42","0","0","0","0","0","0","68","2","2","2.94","2.94","3",
"Woodman, Miss R","0","0","0","0","0","0","1","0","0","0","0","-1","36","2","2","5.56","5.56","99","155","11","26","2","2","7.69","7.69","109","0","0","0","0","0","0","22","0","0","0","0","-22",
"Woods, S P C","10","1","2","10","20","-4","17","1","2","5.88","11.76","-11","347","50","120","14.41","34.58","-94.6","3","5","209","27","76","12.92","36.36","-60.85","46","20","29","43.48","43.48","3.55","187","27","63","14.44","14.44","-28.38",
 
