trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","4","0","1","0","25","-4","6","0","1","0","16.67","-6","214","22","72","10.28","33.64","-68.54","30","12","114","10","36","8.77","31.58","-51.37","28","5","13","17.86","17.86","-11.62","172","21","60","12.21","12.21","-31.04",
"Appleby, Charlie","8","0","4","0","50","-8","20","2","10","10","50","-13.2","911","271","500","29.75","54.88","-44.82","8","9","471","136","257","28.87","54.56","-16.07","426","187","297","43.9","43.9","-16.72","231","60","110","25.97","25.97","-7",
"Appleby, M","21","4","7","19.05","33.33","4.25","45","6","14","13.33","31.11","-5.75","1820","229","567","12.58","31.15","-261.9","3","7","903","108","301","11.96","33.33","-210.49","270","86","160","31.85","31.85","-17.94","1571","195","495","12.41","12.41","-209",
"Baker, George","3","0","2","0","66.67","-3","9","2","7","22.22","77.78","3","411","44","113","10.71","27.49","-95.74","8","6","193","19","50","9.84","25.91","-61.62","46","11","24","23.91","23.91","-12.12","327","38","96","11.62","11.62","-71.12",
"Balding, A M","20","4","8","20","40","1.5","45","7","19","15.56","42.22","-2.5","1870","286","672","15.29","35.94","-179.1","1","1","908","138","309","15.2","34.03","-164.54","314","104","189","33.12","33.12","-41.57","838","128","290","15.27","15.27","-45.5",
"Barron, T D","10","2","4","20","40","6.5","18","3","9","16.67","50","2.83","492","68","172","13.82","34.96","-37.92","4","5","236","26","78","11.02","33.05","-102.18","79","22","48","27.85","27.85","0.18","394","56","147","14.21","14.21","-10.83",
"Beckett, R M","13","2","4","15.38","30.77","-4","30","5","9","16.67","30","0.33","1121","180","409","16.06","36.49","-200.7","4","5","606","105","231","17.33","38.12","-76.26","225","76","128","33.78","33.78","-20.15","515","81","174","15.73","15.73","-137",
"Bell, M L W","6","0","2","0","33.33","-6","20","0","7","0","35","-20","683","88","226","12.88","33.09","-245.06","19","28","351","41","120","11.68","34.19","-151.14","108","36","57","33.33","33.33","-4.8","400","49","131","12.25","12.25","-164.19",
"Bethell, Ed","5","1","2","20","40","-3.85","10","3","4","30","40","4.65","373","58","140","15.55","37.53","-27.41","6","5","220","38","80","17.27","36.36","0.65","79","21","43","26.58","26.58","-26.24","208","36","81","17.31","17.31","24.12",
"Bethell, Harriet","2","0","0","0","0","-2","3","1","1","33.33","33.33","-0.37","106","19","40","17.92","37.74","10.06","9","3","74","15","29","20.27","39.19","22.31","13","6","9","46.15","46.15","2.56","101","18","38","17.82","17.82","13.56",
"Bevis, R J","0","0","0","0","0","0","0","0","0","0","0","0","39","4","10","10.26","25.64","15.63","112","14","22","2","8","9.09","36.36","-13.37","3","1","2","33.33","33.33","-0.37","30","3","7","10","10","22",
"Blake, Michael","0","0","0","0","0","0","2","1","1","50","50","5","142","13","30","9.15","21.13","5","12","2","61","8","12","13.11","19.67","16.5","5","1","3","20","20","-1","136","12","28","8.82","8.82","0",
"Bolger, J S","15","1","4","6.67","26.67","-11","24","1","8","4.17","33.33","-20","727","50","155","6.88","21.32","-307.68","2","3","353","27","83","7.65","23.51","-123.36","49","14","27","28.57","28.57","-9.06","301","20","68","6.64","6.64","-44.8",
"Botti, M","8","0","2","0","25","-8","22","3","7","13.64","31.82","5","761","97","245","12.75","32.19","97.43","8","15","377","44","124","11.67","32.89","42.08","89","19","42","21.35","21.35","-33.78","500","65","158","13","13","-14.24",
"Boughey, George","17","2","7","11.76","41.18","22","39","7","17","17.95","43.59","20.75","1376","220","511","15.99","37.14","-382.42","4","11","817","133","304","16.28","37.21","-213.05","307","127","216","41.37","41.37","5.09","749","132","296","17.62","17.62","-85.18",
"Bowen, P","3","2","2","66.67","66.67","6.25","13","4","7","30.77","53.85","0.5","463","58","131","12.53","28.29","-146.5","4","1","229","30","67","13.1","29.26","-89.74","78","27","46","34.62","34.62","1.04","365","51","111","13.97","13.97","-78.27",
"Brabazon, Richard","3","0","1","0","33.33","-3","3","0","1","0","33.33","-3","59","4","15","6.78","25.42","-41.25","256","17","29","3","8","10.34","27.59","-16.75","11","2","4","18.18","18.18","-3.75","36","3","12","8.33","8.33","-23.75",
"Brisland, Robyn","9","1","3","11.11","33.33","4","12","1","5","8.33","41.67","1","649","56","152","8.63","23.42","-132.11","4","4","295","24","69","8.14","23.39","-36.71","43","13","20","30.23","30.23","-6.93","479","43","115","8.98","8.98","-145.86",
"Brookhouse, B","3","0","0","0","0","-3","5","0","0","0","0","-5","49","6","15","12.24","30.61","-0.63","44","15","49","6","15","12.24","30.61","-0.63","14","2","7","14.29","14.29","-7.88","23","1","7","4.35","4.35","3",
"Brown, G","4","1","2","25","50","4","5","1","3","20","60","3","100","7","23","7","23","-37.25","2","2","47","7","16","14.89","34.04","15.75","2","1","2","50","50","0.75","61","5","17","8.2","8.2","-7",
"Browne, W P","1","0","1","0","100","-1","4","0","2","0","50","-4","102","9","29","8.82","28.43","-31.87","68","16","53","7","20","13.21","37.74","-8.87","3","2","3","66.67","66.67","2.88","28","0","2","0","0","-28",
"Bunyan, Darren","0","0","0","0","0","0","2","0","0","0","0","-2","175","11","31","6.29","17.71","-66.17","28","10","63","5","10","7.94","15.87","-16.67","9","2","3","22.22","22.22","-1.17","119","8","22","6.72","6.72","-41.17",
"Burke, K R","21","2","7","9.52","33.33","-12.93","35","5","11","14.29","31.43","-15.18","1542","214","554","13.88","35.93","-256.12","4","10","758","102","276","13.46","36.41","-85.19","235","88","147","37.45","37.45","20.13","802","93","267","11.6","11.6","-170.93",
"Burke, Kieran","4","1","1","25","25","-0.75","4","1","1","25","25","-0.75","170","25","56","14.71","32.94","9.21","7","3","106","16","32","15.09","30.19","-38.54","26","15","18","57.69","57.69","17.88","115","23","44","20","20","59.59",
"Burrows, Owen","3","1","2","33.33","66.67","2.5","7","2","4","28.57","57.14","4.5","189","43","91","22.75","48.15","16.79","4","2","86","20","39","23.26","45.35","-5.64","47","16","28","34.04","34.04","7.21","73","19","33","26.03","26.03","26.79",
"Butler, John","10","1","2","10","20","-7.37","21","3","7","14.29","33.33","-3.87","914","99","248","10.83","27.13","-171.64","6","8","478","48","126","10.04","26.36","-154.75","96","32","67","33.33","33.33","1.67","721","83","206","11.51","11.51","-115.95",
"Byrnes, C","10","0","0","0","0","-10","16","0","2","0","12.5","-16","432","55","135","12.73","31.25","-123.63","27","33","223","32","75","14.35","33.63","-59.64","72","27","45","37.5","37.5","19.96","211","30","65","14.22","14.22","-45.19",
"Candlish, Jennie","3","2","2","66.67","66.67","9.2","9","3","4","33.33","44.44","8.2","509","51","155","10.02","30.45","-151.85","1","1","248","25","69","10.08","27.82","-38.36","71","17","41","23.94","23.94","-31.81","423","42","134","9.93","9.93","-93.75",
"Carr, Mrs R A","16","1","5","6.25","31.25","-5","29","4","9","13.79","31.03","-0.25","757","66","185","8.72","24.44","-128.74","4","8","390","50","119","12.82","30.51","37.1","48","16","27","33.33","33.33","7.93","704","62","174","8.81","8.81","-103.07",
"Carroll, A W","15","1","1","6.67","6.67","2","32","3","6","9.38","18.75","5","1974","173","524","8.76","26.55","-511.22","2","10","987","85","254","8.61","25.73","-291.75","143","43","86","30.07","30.07","-10.21","1659","154","468","9.28","9.28","-398.68",
"Carroll, D","5","1","1","20","20","-1.75","8","1","1","12.5","12.5","-4.75","439","48","108","10.93","24.6","-55.54","4","4","226","29","59","12.83","26.11","-44.71","41","14","19","34.15","34.15","6.75","338","39","90","11.54","11.54","-40.59",
"Channon, Jack","11","0","4","0","36.36","-11","21","1","7","4.76","33.33","-16.5","114","15","52","13.16","45.61","-26.65","11","17","114","15","52","13.16","45.61","-26.65","24","7","17","29.17","29.17","-8.98","78","8","33","10.26","10.26","-49.66",
