horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Bucksy Des Epeires (FR)","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","27","0","Deutsch, Charlie","11.00","Williams, Miss Venetia","161","124","0",,
"Casual Observer (IRE)","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","42","0","Obrien, P V","33.00","Derham, Harry","156","0","0",,
"Idy Wood (FR)","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","26","0",,"0.00","Snowden, Jamie","164","126","0",,
"Inthewaterside (FR)","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","27","0","Cobden, Harry","1.10","Nicholls, P F","164","128","0",,
"Juventus De Brion (FR)","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","58","0","Skelton, Harry","10.00","Skelton, Daniel","156","0","0",,
"Noble Don (IRE)","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","36","0",,"0.00","Jeffreys, D J","156","0","0",,
"Officer Of State","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","25","0","Cannon, Tom J","80.00","Moore, G L","156","0","0",,
"Phantomofthepoints (IRE)","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","68","0","Tudor, Jack","6.50","Pipe, D E","156","0","0",,
"Pic Roc (IRE)","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","37","0","Jones, Ben R","12.00","Pauling, Ben","156","0","0",,
"Theyseekhimthere (IRE)","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","42","0","Bowen, James C","66.00","Greatrex, W J","161","117","0",,
"Vincenzo (FR)","13:15:00","2024-02-17","Ascot","National Hunt","Novices Hurdle","2m3.5f ","19.5","Good To Soft","9","Class 2","35","0","Twiston-Davies, Sam","3.33","Thomas, Sam","156","127","0",,
"Apple Away (IRE)","13:50:00","2024-02-17","Ascot","National Hunt","Novices Chase","3m ","24","Good To Soft","5","Grade 2","35","0","Fox, Derek R","2.00","Russell, Miss Lucinda V","149","141","0",,
"Brave Kingdom (FR)","13:50:00","2024-02-17","Ascot","National Hunt","Novices Chase","3m ","24","Good To Soft","5","Grade 2","59","0","Cobden, Harry","3.00","Nicholls, P F","156","138","0",,
"Henrys Friend (IRE)","13:50:00","2024-02-17","Ascot","National Hunt","Novices Chase","3m ","24","Good To Soft","5","Grade 2","19","0","Jones, Ben R","5.00","Pauling, Ben","156","134","0",,
"Kilbeg King (IRE)","13:50:00","2024-02-17","Ascot","National Hunt","Novices Chase","3m ","24","Good To Soft","5","Grade 2","53","0","Twiston-Davies, Sam","2.75","Honeyball, A J","156","142","0",,
"The King Of Ryhope","13:50:00","2024-02-17","Ascot","National Hunt","Novices Chase","3m ","24","Good To Soft","5","Grade 2","35","0","Skelton, Harry","16.00","Skelton, Daniel","156","134","0",,
"Arqoob (IRE)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","35","0","Stevens, Miss A","28.00","Wadham, Mrs L","137","120","0",,
"Bad (FR)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","57","0","Jones, Ben R","7.00","Pauling, Ben","144","122","0",,
"Hyland (FR)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","78","0","Boinville, Nico","8.00","Henderson, N J","157","135","0",,
"In The Air (FR)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","59","0","Edwards, Lee","40.00","West, Adam","143","121","0",,
"Irish Hill (GER)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","35","0","Gingell, Mr Frederick","6.00","Nicholls, P F","142","125","0",,
"Issam (FR)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","22","0","Nailor, Jordan","14.00","Symonds, Tom","148","126","0",,
"Jay Jay Reilly (IRE)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","35","0","Skelton, Harry","9.00","Skelton, Daniel","161","139","0",,
"Le Milos","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","86","0","Todd, C J","50.00","Skelton, Daniel","168","146","0",,
"Monviel (IRE)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","85","0","Obrien, P V","7.50","Derham, Harry","150","128","0",,
"Mothill (IRE)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","35","0","Anderson, Joe","20.00","Mulholland, N P","140","123","0",,
"Ostend (IRE)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","207","0","Burke, Jonathan","50.00","Ralph, Alastair","148","126","0",,
"Rambo T (IRE)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","49","0","Gregory, Fergus","20.00","Murphy, Olly","154","132","0",,
"Rare Edition (IRE)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","35","0","Cobden, Harry","6.50","Longsdon, C E","161","139","0",,
"Santos Blue","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","35","0","Sutton, Mr B","14.00","Skelton, Daniel","148","133","0",,
"Soaring Glory (IRE)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","52","0","Brogan, Kevin","18.00","ONeill, Jonjo","154","132","0",,
"Teddy Blue (GER)","14:25:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","2m3.5f ","19.5","Good To Soft","16","Class 2","35","0","Cannon, Tom J","10.00","Moore, G L","153","131","0",,
"Ballygrifincottage (IRE)","15:00:00","2024-02-17","Ascot","National Hunt","Handicap Chase","3m ","24","Good To Soft","9","Class 1","98","0","Todd, C J","33.00","Skelton, Daniel","153","137","0",,
"Do Your Job (IRE)","15:00:00","2024-02-17","Ascot","National Hunt","Handicap Chase","3m ","24","Good To Soft","9","Class 1","53","0","Pinchin, Miss L M","14.00","Longsdon, C E","151","135","0",,
"Iron Bridge (IRE)","15:00:00","2024-02-17","Ascot","National Hunt","Handicap Chase","3m ","24","Good To Soft","9","Class 1","52","0",,"0.00","ONeill, Jonjo","156","140","0",,
"Larry","15:00:00","2024-02-17","Ascot","National Hunt","Handicap Chase","3m ","24","Good To Soft","9","Class 1","26","0","Cannon, Tom J","14.00","Moore, G L","150","134","0",,
"Rapper","15:00:00","2024-02-17","Ascot","National Hunt","Handicap Chase","3m ","24","Good To Soft","9","Class 1","35","0","Sheppard, Stan","20.00","Daly, H D","153","137","0",,
"Revels Hill (IRE)","15:00:00","2024-02-17","Ascot","National Hunt","Handicap Chase","3m ","24","Good To Soft","9","Class 1","294","0","Burke, Jonathan","5.00","Fry, Harry","153","137","0",,
"Shan Blue (IRE)","15:00:00","2024-02-17","Ascot","National Hunt","Handicap Chase","3m ","24","Good To Soft","9","Class 1","56","0","Skelton, Harry","4.00","Skelton, Daniel","159","143","0",,
"Threeunderthrufive (IRE)","15:00:00","2024-02-17","Ascot","National Hunt","Handicap Chase","3m ","24","Good To Soft","9","Class 1","63","0","Cobden, Harry","4.50","Nicholls, P F","168","152","0",,
"Torn And Frayed (FR)","15:00:00","2024-02-17","Ascot","National Hunt","Handicap Chase","3m ","24","Good To Soft","9","Class 1","47","0","Twiston-Davies, Sam","9.00","Twiston-Davies, N A","148","132","0",,
"Victtorino (FR)","15:00:00","2024-02-17","Ascot","National Hunt","Handicap Chase","3m ","24","Good To Soft","9","Class 1","21","0","Deutsch, Charlie","3.00","Williams, Miss Venetia","162","146","0",,
"Ahoy Senor (IRE)","15:36:00","2024-02-17","Ascot","National Hunt","Chase","2m5.5f ","21.5","Good To Soft","4","Grade 1","21","0","Fox, Derek R","4.00","Russell, Miss Lucinda V","164","163","0",,
"LHomme Presse (FR)","15:36:00","2024-02-17","Ascot","National Hunt","Chase","2m5.5f ","21.5","Good To Soft","4","Grade 1","27","0","Deutsch, Charlie","1.20","Williams, Miss Venetia","164","170","0",,
"Pic DOrhy (FR)","15:36:00","2024-02-17","Ascot","National Hunt","Chase","2m5.5f ","21.5","Good To Soft","4","Grade 1","35","0","Cobden, Harry","1.63","Nicholls, P F","164","162","0",,
"Sail Away (FR)","15:36:00","2024-02-17","Ascot","National Hunt","Chase","2m5.5f ","21.5","Good To Soft","4","Grade 1","21","0","Skelton, Harry","50.00","Skelton, Daniel","164","142","0",,
"Astronomic View","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","42","0","Gardner, Lucy","12.00","Gardner, Mrs S","158","115","0",,
"Coco Mademoiselle (IRE)","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","36","0","Skelton, Harry","4.50","Skelton, Daniel","164","121","0",,
"Crossing The Bar (IRE)","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","20","0","Anderson, Joe","25.00","Mulholland, N P","149","111","0",,
"Dont Rightly Know","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","25","0",,"0.00","Gundry, Miss Polly","164","121","0",,
"Exmoor Forest (IRE)","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","17","0","Herbison, Miss E","33.00","Hawke, N J","149","113","0",,
"Fair Frontieres (IRE)","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","53","0","Bass, David","16.00","Bailey, K C","168","125","0",,
"Havaila (IRE)","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","22","0","Cobden, Harry","4.00","Charlton, Anthony","155","112","0",,
"Honor Grey (IRE)","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","482","0","Jones, Ben R","12.00","Pauling, Ben","164","121","0",,
"Hurricane Harvey","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","43","0","Hogan, Mr J","25.00","OBrien, Fergal","166","126","0",,
"Im A Starman","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","26","0","Deutsch, Charlie","20.00","Rimell, M G","147","104","0",,
"Loup De Maulde (FR)","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","23","0","Wynne, Toby","4.50","Llewellyn, Robert","165","125","0",,
"Mt Fugi Park (IRE)","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","25","0",,"0.00","ONeill, Jonjo","166","123","0",,
"Rare Clouds","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","42","0","Bowen, James C","10.00","Earle, Simon","153","110","0",,
"Sporting Mike (IRE)","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","64","0","Morgan, Mr Beau","10.00","Pauling, Ben","150","112","0",,
"Supreme Gift (IRE)","16:10:00","2024-02-17","Ascot","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","13","Class 3","19","0","Stevens, Miss A","22.00","Daly, H D","164","126","0",,
"Anno Power (IRE)","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","89","0","Burke, Jonathan","2.50","Fry, Harry","156","0","0",,
"Barra Blue","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","No Prev","0",,"0.00","OBrien, Fergal","156","0","0",,
"Briery Butterfly","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","No Prev","0","Stevens, Miss A","28.00","Daly, H D","156","0","0",,
"Hit For Sixty","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","No Prev","0","Cannon, Tom J","7.50","King, A","156","0","0",,
"Khutulun Khan (IRE)","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","No Prev","0","Boinville, Nico","9.00","Wadham, Mrs L","156","0","0",,
"Lady Jago (IRE)","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","43","0","Skelton, Harry","7.50","Skelton, Daniel","156","0","0",,
"Moet At Upton (IRE)","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","No Prev","0","Twiston-Davies, Sam","18.00","Twiston-Davies, N A","156","0","0",,
"Nala The Lioness","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","18","0","Cobden, Harry","5.50","Burke, K R","144","0","0",,
"Realta Liath (IRE)","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","61","0","Bowen, James C","8.50","Greatrex, W J","156","0","0",,
"Roaring Home","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","43","0","Sheppard, Stan","4.50","Daly, H D","156","0","0",,
"Surrey Nemesis","16:45:00","2024-02-17","Ascot","National Hunt","NH Flat","2m ","16","Good To Soft","10","Class 2","20","0","Edwards, Lee","150.00","West, Adam","144","0","0",,
"Barrier (FR)","13:42:00","2024-02-17","Gowran Park","National Hunt","Maiden Hurdle","2m ","16","Heavy","14","Ire","20","0","Kennedy, J W","7.50","Elliott, Gordon","154","0","0",,
"Club Manager","13:42:00","2024-02-17","Gowran Park","National Hunt","Maiden Hurdle","2m ","16","Heavy","14","Ire","29","0","Fitzgerald, S","40.00","Cromwell, Gavin Patrick","161","0","0",,
"Dalmatic (IRE)","13:42:00","2024-02-17","Gowran Park","National Hunt","Maiden Hurdle","2m ","16","Heavy","14","Ire","36","0","Byrnes, Mr P","150.00","Odoherty, William Joseph","156","0","0",,
"Duke Silver (IRE)","13:42:00","2024-02-17","Gowran Park","National Hunt","Maiden Hurdle","2m ","16","Heavy","14","Ire","10","0","Brown, O R","50.00","OBrien, Joseph Patrick","156","0","0",,
"Getting There (IRE)","13:42:00","2024-02-17","Gowran Park","National Hunt","Maiden Hurdle","2m ","16","Heavy","14","Ire","No Prev","0","OKeeffe, Darragh","100.00","Burke, W J","161","0","0",,
"Gooloogong (IRE)","13:42:00","2024-02-17","Gowran Park","National Hunt","Maiden Hurdle","2m ","16","Heavy","14","Ire","194","0","OConnor, M P","12.00","Halley, Josh","158","0","0",,
"Karl Des Tourelles (FR)","13:42:00","2024-02-17","Gowran Park","National Hunt","Maiden Hurdle","2m ","16","Heavy","14","Ire","No Prev","0","Hayes, Brian","150.00","Fenton, Philip","161","0","0",,
"Kobalt St Georges (FR)","13:42:00","2024-02-17","Gowran Park","National Hunt","Maiden Hurdle","2m ","16","Heavy","14","Ire","No Prev","0","Enright, P T","100.00","Tyner, Robert","161","0","0",,
"Lark In The Mornin (GER)","13:42:00","2024-02-17","Gowran Park","National Hunt","Maiden Hurdle","2m ","16","Heavy","14","Ire","33","0","Slevin, J J","0.62","OBrien, Joseph Patrick","161","120","0",,
