horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Lovely (IRE)","13:50:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","5","Ire","No Prev","0","Joyce, Wesley","10.00","Dias, Diego","121","0","4",,
"Queens Fury (FR)","13:50:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","5","Ire","No Prev","0","Egan, David","7.00","Murray, Adrian","126","0","2",,
"Saratoga Special (IRE)","13:50:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","5","Ire","No Prev","0","Foley, Shane","3.00","Harrington, Mrs John","126","0","3",,
"This Aint Texas","13:50:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","5","Ire","No Prev","0","McAteer, L T","25.00","Marnane, David","131","0","1",,
"Treasure Isle (IRE)","13:50:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","5","Ire","28","0","Moore, Ryan","0.53","OBrien, A P","131","0","5",,
"Aesops Fables (IRE)","14:20:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","8","Listed Race","20","0","Moore, Ryan","2.00","OBrien, A P","135","111","3",,
"Ano Syra (IRE)","14:20:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","8","Listed Race","205","0","McMonagle, Dylan B","10.00","Feane, John James","130","100","4",,
"Betsen","14:20:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","8","Listed Race","22","0","Whelan, R P","1.75","Davison, Jack W","127","102","1",,
"Crispy Cat","14:20:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","8","Listed Race","20","0","Egan, David","33.00","Murray, Adrian","135","98","8",,
"Dun Na Sead (IRE)","14:20:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","8","Listed Race","205","0","McSweeney, O","4.00","Murphy, Daniel","133","105","2",,
"So Majestic (IRE)","14:20:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","8","Listed Race","8","0","Hayes, C D","125.00","McGivern, Miss","130","70","7",,
"The Highway Rat (IRE)","14:20:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","8","Listed Race","20","0","Lee, W J","5.00","Oliver, Andrew","135","100","5",,
"Twilight Jet (IRE)","14:20:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","5f ","5","Good","8","Listed Race","20","0","Roche, L F","25.00","OCallaghan, M D","138","96","6",,
"Barnavara (IRE)","14:50:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","6f ","6","Good","6","Group 3","13","0","Foley, Shane","1.88","Harrington, Mrs John","128","0","1",,
"California Dreamer","14:50:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","6f ","6","Good","6","Group 3","36","0","Egan, David","25.00","Murray, Adrian","128","0","2",,
"Fairy Godmother (IRE)","14:50:00","2024-05-19","Naas","Flat (Turf)","Non-Handicap","6f ","6","Good","6","Group 3","20","0","Moore, Ryan","3.33","OBrien, A P","128","0","6",,
