horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Darvel (IRE)","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","150","0","Crouch, Hector","18.00","Chamings, P R","137","72","5",,
"Fat Gladiator (IRE)","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","26","0","Whelan, Trevor","5.50","Baker, George","131","66","6",,
"Forward Flight (IRE)","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","49","0","Sayette, B D L","22.00","Foy, Kevin","134","72","3",,
"Hiromichi (FR)","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","31","0","Bishop, Charles","5.00","Channon, Jack","134","69","7",,
"Hul Ah Bah Loo (IRE)","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","23","0","Bradley, Paddy","3.33","Dow, S","129","67","4",,
"Mabre (IRE)","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","11","0","Williams, Jordan","4.00","Evans, P D","127","67","2",,
"Meng Tian","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","25","0","Probert, David","18.00","Woods, S P C","137","72","11",,
"Mr Fustic (IRE)","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","223","0","Hogan, D E","6.50","Brown, Andi","134","69","1",,
"Mr Marvlos (IRE)","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","227","0","Ghiani, Marco","12.00","Kent, T J","125","60","8",,
"River Wharfe","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","23","0","Morris, Luke","20.00","Carroll, A W","131","66","10",,
"Semser","13:45:00","2023-03-27","Lingfield","All Weather","Handicap","1m ","8","Standard","11","Class 5","188","0","Queally, T P","22.00","Moore, G L","137","72","9",,
"Al Tarmaah (IRE)","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","382","0","Haynes, Joey","28.00","Carter, Lee","128","46","4",,
"Catch My Breath","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","20","0","Keenan, Darragh","4.00","Ryan, J","128","49","7",,
"Chloellie","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","26","0","Bishop, Charles","10.00","Jenkins, J R","128","49","5",,
"Hanoverian King (GER)","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","26","0","Probert, David","9.00","Pearce, Simon","128","46","2",,
"Last Roar (IRE)","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","31","0","Hornby, Rob","40.00","Mongan, Mrs L J","128","49","3",,
"No Diggity (IRE)","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","26","0","Ryan, Rossa","9.00","Butler, John","128","49","1",,
"Non Mollare (IRE)","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","10","0","McDonald, P J","2.50","Bourke, D F","128","50","10",,
"Otto Oyl","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","35","0","Morris, Luke","14.00","Watson, Archie","128","48","12",,
"Royal Debut (IRE)","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","20","0","Carver, William","6.50","Hodgson, Simon","125","50","6",,
"Showdiemlad (IRE)","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","44","0","Carson, William","16.00","Richards, Mrs L","128","48","9",,
"Tara","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","20","0","Rooke, George","28.00","Richards, Mrs L","128","45","11",,
"Waleyfa","14:15:00","2023-03-27","Lingfield","All Weather","Non-Handicap","1m ","8","Standard","12","Class 6","79","0","Hansen, Thore","7.00","Haynes, Alice","128","48","8",,
"Davids Gift","14:45:00","2023-03-27","Lingfield","All Weather","Handicap","7f ","7","Standard","12","Class 6","11","0","Coakley, Ross","8.50","Millman, B R","127","47","7",,
"Eight Mile (IRE)","14:45:00","2023-03-27","Lingfield","All Weather","Handicap","7f ","7","Standard","12","Class 6","14","0","Sayette, B D L","2.25","Scott, George","133","56","2",,
"Empire Of The Sun","14:45:00","2023-03-27","Lingfield","All Weather","Handicap","7f ","7","Standard","12","Class 6","30","0",,"0.00","Guest, Rae","130","50","10",,
"Equiami","14:45:00","2023-03-27","Lingfield","All Weather","Handicap","7f ","7","Standard","12","Class 6","160","0",,"0.00","McBride, P J","134","54","13",,
"Genepi (IRE)","14:45:00","2023-03-27","Lingfield","All Weather","Handicap","7f ","7","Standard","12","Class 6","16","0","McDonald, P J","20.00","Millman, B R","126","46","3",,
"Harry The Haggler (IRE)","14:45:00","2023-03-27","Lingfield","All Weather","Handicap","7f ","7","Standard","12","Class 6","40","0","Ryan, Rossa","4.50","Williams, S C","135","55","9",,
"Harry With Style","14:45:00","2023-03-27","Lingfield","All Weather","Handicap","7f ","7","Standard","12","Class 6","38","0","Keenan, Darragh","16.00","Ryan, J","132","52","8",,
