horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Barney Hyland (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","328","0","Heffernan, J A","200.00","Martin, W J","134","0","6",,
"Beauty Bella (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","12","0","Cleary, Jack","6.00","Murray, Adrian","122","73","15",,
"Berlina (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","No Prev","0","Kearney, J","16.00","Lyons, G M","122","0","9",,
"Calamint (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","315","0","Bird, Sean","50.00","Rogers, P M","122","0","1",,
"Hokusai (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","145","0","Keane, C T","6.50","Meade, Noel","134","77","4",,
"Mayo Dawn (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","14","0","Caffrey, Adam","200.00","McGuinness, Adrian","124","0","2",,
"Not Forgotten (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","14","0","Whelan, R P","2.25","Collins, Tracey / Halford, Mick","134","83","12",,
"Pegula (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","91","0","Ryan, Gavin","200.00","Doyle, Timothy","129","0","16",,
"Pretty Company (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","32","0","Cleary, R P","200.00","Doyle, Mary E","129","0","13",,
"Princess Rabab (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","No Prev","0","McDonogh, D P","10.00","OBrien, Joseph Patrick","129","0","3",,
"Rapid City (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","24","0","Hayes, C D","33.00","Comer, Luke","139","0","14",,
"Semantics (USA)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","13","0",,"14.00","Lyons, G M","129","77","11",,
"Shall I Walk (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","7","0","Crosse, Nathan","100.00","Comer, Luke","129","0","10",,
"Simpsons Paradox (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","24","0","Foley, Shane","2.25","Harrington, Mrs John","134","80","5",,
"Wishes And Dreams (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","207","0","McMonagle, Dylan B","16.00","OBrien, Joseph Patrick","129","0","7",,
"Woodcock Flight (IRE)","16:05:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","1m ","8","Good","15","Ire","62","0","McCullagh, Scott","5.50","Prendergast, Kevin","131","78","8",,
"Allo Arry (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","5","0",,"40.00","McGuinness, Adrian","141","64","16",,
"Barnhill Rose","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","13","0","King, D","6.00","Hogan, Denis Gerard","136","64","12",,
"Double Martini (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","54","0","Rutledge, Siobhan","10.00","McConnell, John C","121","47","14",,
"Drish Melody (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","9","0","Marshall, Tom Kiely","20.00","Commins, Donal","124","54","7",,
"Helmet Star","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","67","0",,"33.00","Larkin, J","124","47","1",,
"I Know I Can","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","18","0","Sheridan, J M","14.00","Birrane, F","131","54","8",,
"Indiana Grey (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","158","0","McMonagle, Dylan B","12.00","Martin, Patrick","138","61","9",,
"James Henry (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","14","0","Keane, C T","4.50","Breen, Leanne","136","59","4",,
"Kratos","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","48","0","Foley, Shane","14.00","McConnell, John C","124","47","15",,
"Maponus (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","13","0","Coen, Ben M","33.00","ONeill, E J","136","59","13",,
"Pimstrel (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","41","0","Colgan, R C","25.00","Hourigan, Laura","133","56","11",,
"Praying Mantis (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","54","0","MacRedmond, Cian","20.00","Larkin, J","121","49","2",,
"Qaabil (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","5","0",,"33.00","Fahey, Peter","128","51","3",,
"Roman Palace (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","12","0","Harnett, P A","25.00","Comer, Luke","129","57","5",,
"Sagittarius Rising (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","344","0","Hayes, C D","12.00","McConnell, John C","124","47","10",,
"Smaoineamh Sile","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","12","0","Powell, J A","6.00","McConnell, John C","124","52","17",,
"Sunset Nova (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","48","0","Slattery, A J","11.00","Slattery, Andrew","136","59","6",,
"The Bog Bank (IRE)","16:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","14","0","Ryan, J J G","3.50","McCourt, T G","135","65","18",,
"Above It All (IRE)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","13","0","Rutledge, Siobhan","11.00","McConnell, John C","128","54","17",,
"Bellick","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","9","0","McConnell, Cillian","18.00","McConnell, John C","123","53","3",,
"Black Bridie (IRE)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","54","0",,"50.00","Larkin, J","124","47","12",,
"Dance Emperor (IRE)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","683","0","Coen, Ben M","20.00","Fahey, Peter","142","65","18",,
"Ferrybank","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","5","0",,"4.00","Walsh, T M","136","59","6",,
"Geological (IRE)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","14","0","Cleary, R P","11.00","English, Damian Joseph","138","61","16",,
"Jazz Dreamers (IRE)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","13","0","Whearty, R","9.00","Fahey, Seamus","128","56","9",,
"Lisabetta (IRE)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","31","0","Ryan, Gavin","16.00","Doyle, Timothy","124","47","11",,
"Miltonia (USA)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","48","0","MacRedmond, Cian","18.00","Collins, Tracey / Halford, Mick","120","48","15",,
"Miracles In May (IRE)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","131","0","Persse, A C","25.00","Cahill, Mark","120","50","4",,
"Monzoon","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","13","0","Roche, L F","11.00","OSullivan, Ross","141","64","13",,
"Mullacash Buzz (IRE)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","13","0","Cleary, Jack","14.00","Dowling, Thomas","134","64","5",,
"Nickys Champ (IRE)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","34","0","McCullagh, Scott","20.00","Harrington, Mrs John","132","58","2",,
"Rampage (IRE)","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","9","0","Ryan, J J G","3.50","McCourt, T G","133","63","7",,
"Shawaf","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","34","0","Foley, Shane","9.00","McConnell, John C","124","47","8",,
"Skontonovski","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","5","0","Whelan, R P","5.00","McGuinness, Adrian","136","59","14",,
"Together Aclaim","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","5","0",,"18.00","McConnell, John C","130","53","1",,
"What Adaay","17:05:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","15","Ire","54","0","McMonagle, Dylan B","6.00","Martin, Patrick","129","52","10",,
"Fleetfootsoldier (IRE)","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","14","0","Crosse, Nathan","9.00","Coleman, Kevin","122","59","5",,
"Gosford (IRE)","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","16","0","Coen, Ben M","5.00","Lynam, Edward","132","69","12",,
"La Tulipe Noire (IRE)","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","23","0","McMonagle, Dylan B","11.00","Murphy, Ciaran","142","79","8",,
"Mere Accountant (IRE)","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","12","0","Joyce, Wesley","14.00","Murtagh, J P","130","74","3",,
"Monnow Valley","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","45","0","Cleary, R P","20.00","English, Damian Joseph","119","56","10",,
"One Boss","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","12","0","Foley, Shane","8.00","Harrington, Mrs John","134","71","6",,
"Pub Talk (IRE)","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","166","0","Hayes, C D","9.00","Breen, Leanne","141","78","7",,
"Quantum Light (IRE)","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","23","0","Slattery, A J","2.75","Slattery, Andrew","139","76","1",,
"Rio Largo (IRE)","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","25","0","McDonogh, D P","7.00","Comer, Luke","140","77","2",,
"Silver Salver (IRE)","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","20","0","Powell, J A","20.00","McCreery, W","116","58","4",,
"Sweetest Rose (IRE)","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","34","0","Keane, C T","6.00","Lyons, G M","142","79","9",,
"Yuzu","17:35:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","1m ","8","Good","12","Ire","16","0","Whelan, R P","10.00","Harrington, Mrs John","129","66","11",,
"Beano Power (IRE)","18:10:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","5f ","5","Good","10","Ire","11","0","Coen, Ben M","4.00","Lynam, Edward","130","0","9",,
"Buddy Batt (IRE)","18:10:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","5f ","5","Good","10","Ire","11","0","Curran, D N","6.50","Bunyan, Darren","118","0","4",,
"Comein Comein (IRE)","18:10:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","5f ","5","Good","10","Ire","11","0","Horgan, C","20.00","Browne, W P","118","0","1",,
"Glamorously (IRE)","18:10:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","5f ","5","Good","10","Ire","22","0","Foley, Shane","4.00","Harrington, Mrs John","126","69","10",,
"Janzoor (IRE)","18:10:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","5f ","5","Good","10","Ire","22","0","Keane, C T","2.75","Bunyan, Darren","127","0","2",,
"King Of The Bronx (IRE)","18:10:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","5f ","5","Good","10","Ire","No Prev","0","Colgan, R C","14.00","Slevin, Nigel","125","0","8",,
"Little Miss Peppi (IRE)","18:10:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","5f ","5","Good","10","Ire","22","0","Rutledge, Siobhan","11.00","McConnell, John C","119","0","5",,
"So Diligent","18:10:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","5f ","5","Good","10","Ire","14","0","Ryan, J J G","50.00","McCourt, T G","118","0","3",,
"Sovereign City (IRE)","18:10:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","5f ","5","Good","10","Ire","11","0","McDonogh, D P","14.00","Bunyan, Darren","127","0","6",,
"Tai Tam Bay (IRE)","18:10:00","2023-08-29","Bellewstown","Flat (Turf)","Maiden","5f ","5","Good","10","Ire","20","0","Hayes, C D","4.00","Harty, Edward and Patrick","126","69","7",,
"Charming Lady (IRE)","18:45:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","5f ","5","Good","9","Ire","47","0","Ryan, J J G","12.00","McCourt, T G","126","76","2",,
"Different Look (FR)","18:45:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","5f ","5","Good","9","Ire","2","0",,"0.00","Donoghue, Ian","114","60","9",,
"Double Jabbed","18:45:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","5f ","5","Good","9","Ire","10","0","Whelan, R P","6.00","Marnane, David","130","73","5",,
"Hot Whispers (IRE)","18:45:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","5f ","5","Good","9","Ire","10","0","Bowen, S D","3.00","Hogan, Denis Gerard","112","60","7",,
"Mythical Phoenix (IRE)","18:45:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","5f ","5","Good","9","Ire","53","0","OConnor, Donagh","4.00","McConnell, John C","139","82","4",,
"Polar Bear (IRE)","18:45:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","5f ","5","Good","9","Ire","94","0","Foley, Shane","6.00","Harrington, Mrs John","142","85","10",,
"Shoebox King (IRE)","18:45:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","5f ","5","Good","9","Ire","10","0","Crosse, Nathan","4.00","Coleman, Kevin","126","67","1",,
"So Majestic (IRE)","18:45:00","2023-08-29","Bellewstown","Flat (Turf)","Handicap","5f ","5","Good","9","Ire","11","0","Hayes, C D","12.00","McGivern, Miss","133","76","3",,
