horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Atacama Sky","11:57:00","2023-11-23","Market Rasen","National Hunt","Maiden Hurdle","2m6f ","22","Good To Soft","6","Class 4","46","0",,"0.00","Hanmer, G D","158","0","0",,
"Broomhill Road (IRE)","11:57:00","2023-11-23","Market Rasen","National Hunt","Maiden Hurdle","2m6f ","22","Good To Soft","6","Class 4","30","0","Bellamy, Tom","14.00","King, A","157","0","0",,
"Cormackstown Road (IRE)","11:57:00","2023-11-23","Market Rasen","National Hunt","Maiden Hurdle","2m6f ","22","Good To Soft","6","Class 4","7","0","Bewley, Callum","50.00","Landy, Justin","158","0","0",,
"El Saviour (IRE)","11:57:00","2023-11-23","Market Rasen","National Hunt","Maiden Hurdle","2m6f ","22","Good To Soft","6","Class 4","1","0",,"0.00","Wadham, Mrs L","158","0","0",,
"Hiero Sport (FR)","11:57:00","2023-11-23","Market Rasen","National Hunt","Maiden Hurdle","2m6f ","22","Good To Soft","6","Class 4","22","0","Woods, K K","11.00","Hales, A M","158","0","0",,
"Jhabite En France (FR)","11:57:00","2023-11-23","Market Rasen","National Hunt","Maiden Hurdle","2m6f ","22","Good To Soft","6","Class 4","24","0","Quinlan, Jack","4.50","Case, B I","157","0","0",,
"Magic Wave","11:57:00","2023-11-23","Market Rasen","National Hunt","Maiden Hurdle","2m6f ","22","Good To Soft","6","Class 4","365","0","Hamilton, Jamie","0.29","Walford, Mark","158","0","0",,
"Pertemps Diamond","11:57:00","2023-11-23","Market Rasen","National Hunt","Maiden Hurdle","2m6f ","22","Good To Soft","6","Class 4","194","0","Todd, C J","22.00","Williams, Ian","157","0","0",,
"Blue Bear","12:30:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","2m1.5f ","17.5","Good To Soft","10","Class 5","26","0","Jacob, Daryl","11.00","Smith, Mrs S J","163","95","0",,
"Climate Precedent","12:30:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","2m1.5f ","17.5","Good To Soft","10","Class 5","16","0","Quinlan, Jack","5.00","Owen, J P","152","100","0",,
"Hugueneau (FR)","12:30:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","2m1.5f ","17.5","Good To Soft","10","Class 5","189","0","Sutton, Mr B","6.00","Skelton, Daniel","154","93","0",,
"Lady Gwen","12:30:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","2m1.5f ","17.5","Good To Soft","10","Class 5","7","0","Lenihan, Kai","2.25","Bailey, K C","158","97","0",,
"Minella Plus (IRE)","12:30:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","2m1.5f ","17.5","Good To Soft","10","Class 5","43","0","Maggs, Mr Charlie","7.00","McCain Jnr, D","158","100","0",,
"Racy Lacey (IRE)","12:30:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","2m1.5f ","17.5","Good To Soft","10","Class 5","565","0","Bowen, Sean P","6.50","Murphy, Olly","168","100","0",,
"Royal Max (FR)","12:30:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","2m1.5f ","17.5","Good To Soft","10","Class 5","51","0","Todd, C J","40.00","Pogson, Charles and Adam","162","94","0",,
"Seaborough (IRE)","12:30:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","2m1.5f ","17.5","Good To Soft","10","Class 5","6","0","Davies, James","40.00","Shaw, D","158","90","0",,
"Tropical Talent","12:30:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","2m1.5f ","17.5","Good To Soft","10","Class 5","272","0","Brooke, Henry","5.00","Greenall, O / Guerriero, J","153","85","0",,
"We Still Believe (IRE)","12:30:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","2m1.5f ","17.5","Good To Soft","10","Class 5","16","0","Bewley, Callum","28.00","Bourke, D F","157","89","0",,
"Gaye Legacy (IRE)","13:05:00","2023-11-23","Market Rasen","National Hunt","Handicap Hurdle","3m ","24","Good To Soft","7","Class 4","23","0","Poste, Ben J","3.00","Symonds, Tom","162","104","0",,
