horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"El Hombre","18:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","28","0","Wingrove, Megan","4.00","Loughnane, Daniel Mark","146","69","7",,
"Hit Mac (IRE)","18:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","13","0","Callan, Mr Jack","10.00","Boughey, George","135","60","8",,
"Lilkian","18:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","8","0","Walker, Mr S","2.25","Holland, Darryll","154","72","6",,
"Mr Trick (IRE)","18:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","8","0","Seery, Nathan","16.00","Williams, Ian","139","62","4",,
"Q Twenty Boy (IRE)","18:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","10","0","Perkins, Miss Alicia","25.00","Usher, M D I","133","58","3",,
"Red Alert","18:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","17","0","Tucker, Miss Amy","25.00","Carroll, A W","132","57","2",,
"Shalaa Asker","18:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","21","0","Cagney, Eireann","2.75","Keatley, Adrian Paul","156","74","1",,
"Thismydream (IRE)","18:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","28","0","Birkett, Mr R","4.00","Attwater, M J","152","70","5",,
"Athenes Kiss (IRE)","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","6","0","Crouch, Hector","40.00","Watson, Archie","128","0","6",,
"Class Member","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","10","0","Tudhope, Daniel","2.00","Boughey, George","128","0","3",,
"Covertly (FR)","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","12","0","Stott, Kevin","40.00","Boughey, George","128","0","1",,
"Creme De Cacao (IRE)","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","29","0","Egan, David","7.00","Varian, Roger","128","0","9",,
"Flame Of Kodiac (IRE)","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","21","0","Havlin, Robert","3.00","Gosden, John and Thady","128","0","5",,
"Haulfronhobbs","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","No Prev","0","Whelan, Trevor","22.00","Dwyer, C A","128","0","2",,
"Heddewigii","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","No Prev","0","Probert, David","6.50","Balding, A M","128","0","11",,
"Lucidity (IRE)","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","138","0","Clutterbuck, Rhys","6.00","Dunlop, E A L","128","0","10",,
"Risotto (IRE)","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","160","0","Ghiani, Marco","16.00","Chapple-Hyam, Jane","128","0","4",,
"Specialist View","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","126","0","Hansen, Thore","100.00","Dwyer, C A","128","0","8",,
"Stormy Denise","18:30:00","2023-03-16","Chelmsford City","All Weather","Novices","7f ","7","Standard","11","Class 5","No Prev","0","Muscutt, D","6.00","Ferguson, James","128","0","7",,
"Blow Your Horn (IRE)","19:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","1m2f ","10","Standard","6","Class 3","58","0","Rooke, George","18.00","Williams, Ian","116","76","5",,
"Diderot","19:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","1m2f ","10","Standard","6","Class 3","19","0","Muscutt, D","3.00","Ferguson, James","135","95","6",,
"First Officer (IRE)","19:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","1m2f ","10","Standard","6","Class 3","22","0","De Barros, Dayverson","8.00","Chapple-Hyam, Jane","128","88","2",,
"Gloucestershire (USA)","19:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","1m2f ","10","Standard","6","Class 3","118","0","Stott, Kevin","4.50","Meade, Freddie and Martyn","133","93","3",,
"Oh Herberts Reign (IRE)","19:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","1m2f ","10","Standard","6","Class 3","14","0","Atzeni, Andrea","10.00","Hannon (Jnr), Richard","117","77","4",,
"Zealot","19:00:00","2023-03-16","Chelmsford City","All Weather","Handicap","1m2f ","10","Standard","6","Class 3","14","0","Loughnane, Mr Billy","0.91","Appleby, M","131","96","1",,
"Hiatus (IRE)","19:30:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","8","0","Levey, S M","4.50","Allen, C N","131","66","7",,
"Hobson Point","19:30:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","57","0","Atzeni, Andrea","25.00","Botti, M","136","71","8",,
"Kessaar Power (IRE)","19:30:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","163","0","Egan, John","3.50","Foy, Kevin","137","72","6",,
"Midnightattheoasis","19:30:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","27","0","Shoemark, Kieran","2.50","Hills, Charles","136","71","4",,
"Rossmore Nation (IRE)","19:30:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","13","0","Egan, David","4.00","Appleby, M","126","61","2",,
"Sassy Redhead","19:30:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","27","0","Storey, Collen","6.00","Stone, W B","130","65","3",,
"Smasher (IRE)","19:30:00","2023-03-16","Chelmsford City","All Weather","Handicap","6f ","6","Standard","8","Class 5","12","0","Carson, William","25.00","Attwater, M J","128","63","5",,
