horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Bojink (IRE)","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","22","0","Crehan, Mark","12.00","Boughey, George","132","60","8",,
"Cwenhild","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","29","0","Fentiman, Duran","40.00","Easterby, T D","120","45","5",,
"Fortuitous Star (IRE)","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","15","0","McHugh, B","4.50","Tuer, Grant","131","56","10",,
"Harswell Rose","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","14","0","Peate, Jonny","18.00","Fell, Roger","115","45","2",,
"Jam Nation (IRE)","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","18","0","Sullivan, James P","16.00","Quinn, J J","134","59","6",,
"Just Dashing","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","38","0","Voikhansky, Alexander","12.00","Hannon (Jnr), Richard","127","59","12",,
"Kodi Dancer (IRE)","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","10","0","Gray, S A","4.00","Burke, K R","135","60","1",,
"Menalippe (IRE)","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","24","0","Doyle, James","5.50","Ferguson, James","134","59","11",,
"Nifaliophobia (IRE)","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","18","0","Scott, Rowan","33.00","Tinkler, N","122","47","3",,
"Noble Majesty","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","15","0","Shaw, Harrison","22.00","OKeeffe, Jedd","131","56","4",,
"Streetwise Girl","13:47:00","2022-07-30","Doncaster","Flat (Turf)","Handicap Nursery","6f ","6","Good","12","Class 6","15","0","McManoman, Faye","18.00","Easterby, T D","117","45","7",,
