horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Butter Fingers (IRE)","16:05:00","2024-08-30","Down Royal","National Hunt","Hurdle","2m1f ","17","Good","9","Ire","23","0","Shanahan, Mr L P","1.25","OSullivan, Ross","151","0","0",,
"Chesterbaylad (IRE)","16:05:00","2024-08-30","Down Royal","National Hunt","Hurdle","2m1f ","17","Good","9","Ire","No Prev","0","Cullinan, Mr C","66.00","Markham, Ms Helen P","145","0","0",,
"Inspire Hope (IRE)","16:05:00","2024-08-30","Down Royal","National Hunt","Hurdle","2m1f ","17","Good","9","Ire","13","0","Blackmore, Rachael","3.50","OBrien, Joseph Patrick","151","0","0",,
"Jlow (IRE)","16:05:00","2024-08-30","Down Royal","National Hunt","Hurdle","2m1f ","17","Good","9","Ire","18","0","Ewing, Sam","18.00","Farrell, C W J","145","0","0",,
"Rhythm And Moves (IRE)","16:05:00","2024-08-30","Down Royal","National Hunt","Hurdle","2m1f ","17","Good","9","Ire","376","0","Brouder, Gavin","66.00","Kelly, Noel C","147","0","0",,
"Sheen Falls Time (IRE)","16:05:00","2024-08-30","Down Royal","National Hunt","Hurdle","2m1f ","17","Good","9","Ire","35","0","Mullins, D E","7.00","ODonoghue, John","145","0","0",,
"Sinbad My Dad (IRE)","16:05:00","2024-08-30","Down Royal","National Hunt","Hurdle","2m1f ","17","Good","9","Ire","8","0","Kennedy, B P","16.00","Fahey, Seamus","145","0","0",,
"Syosset (IRE)","16:05:00","2024-08-30","Down Royal","National Hunt","Hurdle","2m1f ","17","Good","9","Ire","No Prev","0","Harvey, A","12.00","McConnell, John C","147","0","0",,
"Teriferma","16:05:00","2024-08-30","Down Royal","National Hunt","Hurdle","2m1f ","17","Good","9","Ire","8","0","Slevin, J J","3.00","OBrien, Joseph Patrick","158","0","0",,
"Bishbashbosh (IRE)","16:40:00","2024-08-30","Down Royal","National Hunt","Maiden Hurdle","2m1f ","17","Good","10","Ire","9","0","Ryan, N J","50.00","Smyth, H","146","0","0",,
"Born In Purple (FR)","16:40:00","2024-08-30","Down Royal","National Hunt","Maiden Hurdle","2m1f ","17","Good","10","Ire","19","0","Mullins, D E","1.88","Mullins, W P","161","0","0",,
"Florance (IRE)","16:40:00","2024-08-30","Down Royal","National Hunt","Maiden Hurdle","2m1f ","17","Good","10","Ire","22","0","OSullivan, James","20.00","McCann, Anthony","153","0","0",,
"Heading South (IRE)","16:40:00","2024-08-30","Down Royal","National Hunt","Maiden Hurdle","2m1f ","17","Good","10","Ire","27","0","Brouder, Gavin","25.00","Kelly, Noel C","148","0","0",,
"Lianna (IRE)","16:40:00","2024-08-30","Down Royal","National Hunt","Maiden Hurdle","2m1f ","17","Good","10","Ire","9","0","Sexton, K C","66.00","Flynn, Paul W","153","0","0",,
"Party Dress (IRE)","16:40:00","2024-08-30","Down Royal","National Hunt","Maiden Hurdle","2m1f ","17","Good","10","Ire","36","0","Slevin, J J","5.00","McCreery, W","158","0","0",,
"Picture Of You (FR)","16:40:00","2024-08-30","Down Royal","National Hunt","Maiden Hurdle","2m1f ","17","Good","10","Ire","129","0","Blackmore, Rachael","2.25","Bromhead, Henry De","153","108","0",,
"Stormy Jenn (IRE)","16:40:00","2024-08-30","Down Royal","National Hunt","Maiden Hurdle","2m1f ","17","Good","10","Ire","16","0","Donoghue, K M","16.00","Cluskey, P","161","0","0",,
"Whatmedo (IRE)","16:40:00","2024-08-30","Down Royal","National Hunt","Maiden Hurdle","2m1f ","17","Good","10","Ire","80","0","Ewing, Sam","66.00","Kelly, Noel C","150","0","0",,
"Yokkell (IRE)","16:40:00","2024-08-30","Down Royal","National Hunt","Maiden Hurdle","2m1f ","17","Good","10","Ire","13","0","Harvey, A","3.00","McConnell, John C","156","0","0",,
"Ah Remy Martin (IRE)","17:15:00","2024-08-30","Down Royal","National Hunt","Handicap Hurdle","2m1f ","17","Good","12","Ire","92","0","McGivern, Mr C","10.00","Gibney, Thomas","159","107","0",,
