racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,
"2023-04-23","14:00:00","Plumpton","Book Ladies Day Sunday 14th May Conditional Jockeys Handicap Chase","5yo+","Class 4",,"2m3.5f ","6337","Soft","3","1st",,"Telhimlisten (IRE)","0","Candlish, Jennie","7","Morgan, Luca","0","167","0.73","(Fav)","107","5 mins 12.34s","312.34",,"107","19.5","1","National Hunt","0","0","1","0","4344","0","Handicap Chase","made all, easily drew clear before 2 out, kept on well, coasted home","2","None","Left Handed","Hood","31","10","Fame And Glory","Very Undulating","6337","Gelding","Hiwaitilitellu (IRE)","Milan",
"2023-04-23","14:00:00","Plumpton","Book Ladies Day Sunday 14th May Conditional Jockeys Handicap Chase","5yo+","Class 4",,"2m3.5f ","6337","Soft","3","2nd","14","Not Another Muddle","0","Moore, G L","12","Houlihan, Niall F","3","165","1.25",,"108","5 mins 12.34s","312.34","14","107","19.5","2","National Hunt","0","0","1","0","4344","0","Handicap Chase","tracked leader, pushed along and outpaced after 3 out, well beaten next","1","None","Left Handed",,"13","20","Kayf Tara","Very Undulating","2916","Gelding","Spatham Rose","Environment Friend",
"2023-04-23","14:00:00","Plumpton","Book Ladies Day Sunday 14th May Conditional Jockeys Handicap Chase","5yo+","Class 4",,"2m3.5f ","6337","Soft","3","PU",,"Saved By The River (IRE)","0","Mullins, J W","6","Sansom, Daniel","0","148","20",,"88","5 mins 12.34s","312.34",,"107","19.5","PU","National Hunt","0","0","1","0","4344","0","Handicap Chase","raced in 3rd, in touch, pushed along after 9th, not fluent and tailed off 3 out, pulled up before next","4","None","Left Handed",,"50","10","Hallowed Crown (AUS)","Very Undulating",,"Gelding","Mataji (IRE)","Desert Prince (IRE)",
"2023-04-23","14:30:00","Plumpton","Southdown And Eridge Trail Hunting Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m ","4901","Soft","7","1st",,"Highland Frolic (FR)","0","Harris, M F","4","Cobden, Harry","0","152","2.75",,"98","3 mins 53.72s","233.72",,"87","16","1","National Hunt","0","0","2","0","3495","24","Maiden Hurdle","tracked leaders, pushed along and headway to lead home turn, faced strong challenge from 2 out, ridden run-in and forged clear","10","None","Left Handed","Vsor TT","14","11","Highland Reel (IRE)","Very Undulating","4901","Gelding","Beach Frolic","Nayef (USA)",
"2023-04-23","14:30:00","Plumpton","Southdown And Eridge Trail Hunting Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m ","4901","Soft","7","2nd","1.5","Aviles (FR)","0","Moore, G L","4","Moore, Jamie","0","152","1.88","(Fav)","105","3 mins 53.72s","233.72","1.5","87","16","2","National Hunt","0","0","2","0","3495","24","Maiden Hurdle","chased leaders, not fluent 4th, pressed leader 2 out, pushed along and every chance last, ridden and no extra run-in","7","None","Left Handed",,"118","3","Saint Des Saints (FR)","Very Undulating","2258","Gelding","Ava (GER)","Kamsin (GER)",
"2023-04-23","14:30:00","Plumpton","Southdown And Eridge Trail Hunting Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m ","4901","Soft","7","3rd","4.75","Breaking Cover (IRE)","0","Honeyball, A J","5","Dingle, Rex","0","160","9",,"0","3 mins 53.72s","233.72","6.25","87","16","3","National Hunt","0","0","2","0","3495","24","Maiden Hurdle","in rear, headway after 4 out, not fluent 3 out, pressed leaders 2 out, switched left approaching last, faded run-in","1","None","Left Handed"," TT","176","1","Getaway (GER)","Very Undulating","1129","Gelding","Peace And The City (FR)","Elusive City (USA)",
"2023-04-23","14:30:00","Plumpton","Southdown And Eridge Trail Hunting Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m ","4901","Soft","7","4th","12","Clongowes (IRE)","0","Steele, Daniel","9","Sansom, Daniel","3","157","5",,"87","3 mins 53.72s","233.72","18.25","87","16","4","National Hunt","0","0","2","0","3495","24","Maiden Hurdle","prominent, pushed along after 3 out, weakened quickly before next","2","None","Left Handed"," TT","13","37","New Approach (IRE)","Very Undulating","565","Gelding","Punctilious","Danehill (USA)",
"2023-04-23","14:30:00","Plumpton","Southdown And Eridge Trail Hunting Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m ","4901","Soft","7","5th","1.5","Greatness Awaits (IRE)","0","Pauling, Ben","4","Woods, K K","0","152","3.5",,"102","3 mins 53.72s","233.72","19.75","87","16","5","National Hunt","0","0","2","0","3495","24","Maiden Hurdle","led, pushed along and headed home turn, weakened 2 out","9","None","Left Handed","CkPc","32","18","Clodovil (IRE)","Very Undulating","0","Gelding","Top Act (FR)","Fantastic Light (USA)",
"2023-04-23","14:30:00","Plumpton","Southdown And Eridge Trail Hunting Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m ","4901","Soft","7","6th","24","Sir Dan Dan (IRE)","0","Phelan, P M","6","Houlihan, Niall F","3","157","66",,"0","3 mins 53.72s","233.72","43.75","87","16","6","National Hunt","0","0","2","0","3495","24","Maiden Hurdle","chased leaders, dropped to rear 4 out, soon ridden and well behind","5","None","Left Handed",,"24","2","Imperial Monarch (IRE)","Very Undulating","0","Gelding","Deepest Love (IRE)","Fruits Of Love (USA)",
"2023-04-23","14:30:00","Plumpton","Southdown And Eridge Trail Hunting Maiden Hurdle (GBB Race)","4yo+","Class 4",,"2m ","4901","Soft","7","PU",,"Kayf Burren (IRE)","0","Jewell, Karen","5","Powell, Brendan","0","160","40",,"0","3 mins 53.72s","233.72",,"87","16","PU","National Hunt","0","0","2","0","3495","24","Maiden Hurdle","towards rear, not fluent 1st, dropped away and tailed off after 4 out, pulled up","4","None","Left Handed",,"None","0","Kayf Tara","Very Undulating",,"Gelding","Shes Humble (IRE)","Humbel (USA)",
