racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,
"2023-04-20","17:30:00","Chelmsford City","chelmsfordcityracecourse.com Restricted Maiden Stakes (GBB Race)","3-5yo","Class 5",,"7f ","4213","Standard","7","1st",,"Monte Linas (IRE)","5","Crisford, Simon","3","Coakley, Ross","0","129","3.5",,"0","1 mins 26.77s","86.77",,"0","7","1","All Weather","0","0","2","0","1540","0","Maiden","dwelt, raced keenly and soon chasing leaders, ridden to lead inside final furlong, ran on","4","Inside","Left Handed",,"None","0","Territories (IRE)","Polytrack","4213","Gelding","Miss Carbonia (IRE)","Lilbourne Lad (IRE)",
"2023-04-20","17:30:00","Chelmsford City","chelmsfordcityracecourse.com Restricted Maiden Stakes (GBB Race)","3-5yo","Class 5",,"7f ","4213","Standard","7","2nd","0.5","Cues Beau","6","Dunlop, E A L","3","Doyle, Hollie","0","122","1.25","(Fav)","0","1 mins 26.77s","86.77","0.5","0","7","2","All Weather","0","0","2","0","1540","0","Maiden","raced keenly tracking leaders out wide, pushed along and outpaced over 2f out, headway out wide over 1f out, stayed on under pressure inside final furlong, not reach winner","8","Inside","Left Handed",,"22","1","Brazen Beau (AUS)","Polytrack","1977","Filly","Cues Folly","Nathaniel (IRE)",
"2023-04-20","17:30:00","Chelmsford City","chelmsfordcityracecourse.com Restricted Maiden Stakes (GBB Race)","3-5yo","Class 5",,"7f ","4213","Standard","7","3rd","1","Flame Spirit (IRE)","2","Tate, James","3","Loughnane, Mr Billy","5","124","4",,"75","1 mins 26.77s","86.77","1.5","0","7","3","All Weather","0","0","2","0","1540","0","Maiden","bit keen, joined 2f out, kept slight advantage, ridden and strongly pressed over 1f out, headed inside final furlong, no extra but plugged on","3","Inside","Left Handed",,"24","3","Iffraaj","Polytrack","988","Colt","Spirit Of Cuba (IRE)","Invincible Spirit (IRE)",
"2023-04-20","17:30:00","Chelmsford City","chelmsfordcityracecourse.com Restricted Maiden Stakes (GBB Race)","3-5yo","Class 5",,"7f ","4213","Standard","7","4th","1","Fitz Perfectly (FR)","4","Fellowes, Charlie","3","Shepherd, Callum","0","124","25",,"0","1 mins 26.77s","86.77","2.5","0","7","4","All Weather","0","0","2","0","1540","0","Maiden","held up in last pair, headway and shaken up inside final furlong, kept on steadily, went 4th final strides","7","Inside","Left Handed",,"183","2","No Nay Never (USA)","Polytrack","494","Filly","Kalimenta (USA)","Rahy (USA)",
"2023-04-20","17:30:00","Chelmsford City","chelmsfordcityracecourse.com Restricted Maiden Stakes (GBB Race)","3-5yo","Class 5",,"7f ","4213","Standard","7","5th","HD","Rogue Soldier (IRE)","8","Clover, Tom","3","Planas, Connor","5","124","6.5",,"0","1 mins 26.77s","86.77","2.6","0","7","5","All Weather","0","0","2","0","1540","0","Maiden","steadied and switched left start, raced keenly and soon chasing leaders, went 2nd over 5f out, challenged and every chance from 2f out, ridden and hung left over 1f out, weakened inside final furlong","5","Inside","Left Handed",,"None","0","No Nay Never (USA)","Polytrack","246","Gelding","Dolcissimo (IRE)","Dark Angel (IRE)",
"2023-04-20","17:30:00","Chelmsford City","chelmsfordcityracecourse.com Restricted Maiden Stakes (GBB Race)","3-5yo","Class 5",,"7f ","4213","Standard","7","6th","1.5","Film Star","3","Todd, Mark","3","Probert, David","0","124","14",,"0","1 mins 26.77s","86.77","4.1","0","7","6","All Weather","0","0","2","0","1540","0","Maiden","raced keenly, chased leader over 1f, chased leaders, weakened over 1f out","6","Inside","Left Handed",,"22","2","Zoustar (AUS)","Polytrack","0","Filly","Station House (IRE)","Galileo (IRE)",
"2023-04-20","17:30:00","Chelmsford City","chelmsfordcityracecourse.com Restricted Maiden Stakes (GBB Race)","3-5yo","Class 5",,"7f ","4213","Standard","7","7th","1.5","Ocean Potion","1","Usher, M D I","4","Marsh, Finley","0","140","33",,"0","1 mins 26.77s","86.77","5.6","0","7","7","All Weather","0","0","2","0","1540","0","Maiden","held up in last pair, never on terms","1","Inside","Left Handed",,"651","1","Havana Gold (IRE)","Polytrack","0","Colt","Sunburnt","Haafhd",
"2023-04-20","18:00:00","Chelmsford City","Ministry Of Sound 2nd September Handicap","4yo+","Class 3",,"7f ","8100","Standard","8","1st",,"Priscillas Wish","8","McBride, P J","5","Keeley, Aidan","5","118","66",,"75","1 mins 24.63s","84.63",,"82","7","1","All Weather","0","0","3","0","1540","0","Handicap","held up in rear, switched right and headway over 1f out, led inside final furlong, ran on well","8","Inside","Left Handed",,"173","26","Adaay (IRE)","Polytrack","8100","Mare","Ghedi (IRE)","Aussie Rules (USA)",
"2023-04-20","18:00:00","Chelmsford City","Ministry Of Sound 2nd September Handicap","4yo+","Class 3",,"7f ","8100","Standard","8","2nd","NK","Wyvern","6","Williams, S C","4","Shepherd, Callum","0","130","3.5",,"82","1 mins 24.63s","84.63","0.15","82","7","2","All Weather","0","0","3","0","1540","0","Handicap","tracked leaders, lost place 5f out, headway when not much room and switched right over 1f out, every chance inside final furlong, kept on","5","Inside","Left Handed",,"22","13","Bated Breath","Polytrack","3802","Gelding","Miramont","Iffraaj",
"2023-04-20","18:00:00","Chelmsford City","Ministry Of Sound 2nd September Handicap","4yo+","Class 3",,"7f ","8100","Standard","8","3rd","0.75","Letmelivemylife","3","Curran, S","5","Loughnane, Mr Billy","5","126","1.63","(Fav)","83","1 mins 24.63s","84.63","0.9","82","7","3","All Weather","0","0","3","0","1540","0","Handicap","mid-division, switched right and headway over 1f out, pressing leaders inside final furlong, 3rd and held towards finish","3","Inside","Left Handed",,"14","15","Oasis Dream","Polytrack","1902","Gelding","Itiqad","Makfi",
