racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2023-05-22","14:00:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","2yo","Class 3",,"5f ","6750","Good To Firm","5","1st",,"Malc","3","Fahey, R A","2","Orr, Oisin","0","133","1.63","(JFav)","0","1 mins 2.25s","62.25",,"0","5","1","Flat","0","0","2","0","1100","0","Novices","close up, pushed along and headway over 1f out, led inside final furlong, ran on","3","Inside","Straight",,"None","0","Calyx","Undulating","6750","Colt","Bereka","Firebreak","0",
"2023-05-22","14:00:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","2yo","Class 3",,"5f ","6750","Good To Firm","5","2nd","2.25","Kaolinite (IRE)","5","Crisford, Simon","2","Shepherd, Callum","0","133","3.5",,"0","1 mins 2.25s","62.25","2.25","0","5","2","Flat","0","0","2","0","1100","0","Novices","quickly away, led, ridden and headed inside final furlong, stayed on","2","Inside","Straight",,"14","1","Masar (IRE)","Undulating","3169","Colt","Porcelain Girl (IRE)","Exceed And Excel (AUS)","0",
"2023-05-22","14:00:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","2yo","Class 3",,"5f ","6750","Good To Firm","5","3rd","5","Parsons Meadow","2","Kirby, P A","2","Mullen, Andrew","0","133","33",,"0","1 mins 2.25s","62.25","7.25","0","5","3","Flat","0","0","2","0","1100","0","Novices","slowly away, close up in rear, pushed along 2f out, kept on same pace","4","Inside","Straight",,"None","0","Masar (IRE)","Undulating","1585","Colt","Represent (IRE)","Exceed And Excel (AUS)","0",
"2023-05-22","14:00:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","2yo","Class 3",,"5f ","6750","Good To Firm","5","4th","NK","Rock Lodge","6","Makin, Phillip","2","Gray, S A","0","133","40",,"0","1 mins 2.25s","62.25","7.4","0","5","4","Flat","0","0","2","0","1100","0","Novices","slowly away, raced wide tracked leader after 1f until ridden over 1f out, kept on same pace","5","Inside","Straight",,"None","0","Rajasinghe (IRE)","Undulating","792","Colt","Skeetah","Heeraat (IRE)","0",
"2023-05-22","14:00:00","Carlisle","British Stallion Studs EBF Novice Stakes (GBB Race)","2yo","Class 3",,"5f ","6750","Good To Firm","5","5th","2","Instant Recall","1","Burke, K R","2","Lee, Clifford","0","133","1.63","(JFav)","0","1 mins 2.25s","62.25","9.4","0","5","5","Flat","0","0","2","0","1100","0","Novices","tracked leaders, pushed along 2f out, weakened final furlong","1","Inside","Straight",,"None","0","Showcasing","Undulating","0","Colt","Delizia (IRE)","Dark Angel (IRE)","0",
"2023-05-22","14:35:00","Carlisle","Blackwell Handicap","4yo+","Class 4",,"5f ","6542","Good To Firm","9","1st",,"Ramon Di Loria (IRE)","9","Whillans, Ewan","5","Sexton, Ryan","3","125","8",,"73","1 mins 0.51s","60.51",,"73","5","1","Flat","0","0","3","0","1100","0","Handicap","in rear, pushed along and headway entering final furlong, ridden and ran on to lead final strides","5","Inside","Straight",,"8","26","Dandy Man (IRE)","Undulating","6542","Gelding","Pria Bona (IRE)","Blu Air Force (IRE)","80",
"2023-05-22","14:35:00","Carlisle","Blackwell Handicap","4yo+","Class 4",,"5f ","6542","Good To Firm","9","2nd","SH","Princess Karine","6","Smart, B","4","Mulrennan, Paul","0","125","4","(Fav)","70","1 mins 0.51s","60.51","0.05","73","5","2","Flat","0","0","3","0","1100","0","Handicap","close up, pushed along over 1f out, ridden to lead inside final furlong, headed final strides","6","Inside","Straight",,"13","9","Aclaim (IRE)","Undulating","3070","Filly","Hakuraa (IRE)","Elnadim (USA)","80",
"2023-05-22","14:35:00","Carlisle","Blackwell Handicap","4yo+","Class 4",,"5f ","6542","Good To Firm","9","3rd","1.5","Huddle Up (IRE)","5","Barron, T D","5","Sanna, G","7","122","5",,"74","1 mins 0.51s","60.51","1.55","73","5","3","Flat","0","0","3","0","1100","0","Handicap","awkwardly away, in touch, pushed along 2f out, ridden and headway approaching final furlong, stayed on to go 3rd close home","4","Inside","Straight",,"8","13","Anjaal","Undulating","1534","Gelding","Red Red Rose","Piccolo","80",
"2023-05-22","14:35:00","Carlisle","Blackwell Handicap","4yo+","Class 4",,"5f ","6542","Good To Firm","9","4th","NK","Albegone","1","Easterby, T D","5","Fentiman, Duran","0","118","25",,"63","1 mins 0.51s","60.51","1.7","73","5","4","Flat","0","0","3","0","1100","0","Handicap","went left start, keen hung left and led, pushed along 2f out, ridden and headed inside final furlong, no extra","9","Inside","Straight","CkPc","224","29","Alhebayeb (IRE)","Undulating","768","Gelding","Pacngo","Paco Boy (IRE)","80",
"2023-05-22","14:35:00","Carlisle","Blackwell Handicap","4yo+","Class 4",,"5f ","6542","Good To Firm","9","5th","0.75","The Thin Blue Line (IRE)","7","Dalgleish, Keith","5","Fanning, Joe","0","135","5",,"80","1 mins 0.51s","60.51","2.4499999999999997","73","5","5","Flat","0","0","3","0","1100","0","Handicap","raced wide, in touch, pushed along and headway over 1f out, kept on one pace","2","Inside","Straight",,"8","42","Mehmas (IRE)","Undulating","382","Gelding","Rahlah","Dansili","80",
"2023-05-22","14:35:00","Carlisle","Blackwell Handicap","4yo+","Class 4",,"5f ","6542","Good To Firm","9","6th","0.75","Glorious Rio (IRE)","4","Barclay, Stella","6","Shepherd, Callum","0","122","5",,"67","1 mins 0.51s","60.51","3.1999999999999997","73","5","6","Flat","0","0","3","0","1100","0","Handicap","towards rear, pushed along halfway, kept on inside final furlong, never nearer","7","Inside","Straight","CkPc","13","47","Gutaifan (IRE)","Undulating","0","Gelding","Renaissance Rio (IRE)","Captain Rio","80",
"2023-05-22","14:35:00","Carlisle","Blackwell Handicap","4yo+","Class 4",,"5f ","6542","Good To Firm","9","7th","5","Our Absent Friends (IRE)","2","Davidson, Tristan","5","Dennis, Phil","0","130","9",,"75","1 mins 0.51s","60.51","8.200000000000001","73","5","7","Flat","0","0","3","0","1100","0","Handicap","dwelt and hampered start, soon tracked leaders, pushed along halfway, weakened final furlong","3","Inside","Straight"," TT","18","7","Camacho","Undulating","0","Gelding","Practicallyperfect (IRE)","King Charlemagne (USA)","80",
"2023-05-22","14:35:00","Carlisle","Blackwell Handicap","4yo+","Class 4",,"5f ","6542","Good To Firm","9","8th","NK","Nelson Gay (IRE)","8","Dods, M","5","Beasley, Connor","0","135","5.5",,"80","1 mins 0.51s","60.51","8.35","73","5","8","Flat","0","0","3","0","1100","0","Handicap","dwelt, raced wide, tracked leader until pushed along 2f out, weakened final furlong","1","Inside","Straight","CkPc","33","29","Mehmas (IRE)","Undulating","0","Gelding","Rublevka Star (USA)","Elusive Quality (USA)","80",
"2023-05-22","14:35:00","Carlisle","Blackwell Handicap","4yo+","Class 4",,"5f ","6542","Good To Firm","9","9th","6","Mews House","3","Menzies, Rebecca","6","Schofield, Kieran","5","115","12",,"65","1 mins 0.51s","60.51","14.35","73","5","9","Flat","0","0","3","0","1100","0","Handicap","tracked leaders, pushed along halfway, weakened over 1f out","8","Inside","Straight",,"3","47","Coach House (IRE)","Undulating",,"Gelding","Beauty Pageant (IRE)","Bahamian Bounty","80",
"2023-05-22","15:10:00","Carlisle","Penrith Handicap","4yo+","Class 4",,"6f ","6542","Good To Firm","7","1st",,"Papa Cocktail (IRE)","4","Barclay, Stella","4","Shepherd, Callum","0","133","2.75",,"74","1 mins 12.69s","72.69",,"71","6","1","Flat","0","0","2","0","1282","0","Handicap","in touch, wide and smooth headway over 1f out, led just inside final furlong, ridden out","2","Inside","Straight",,"23","22","Churchill (IRE)","Undulating","6542","Gelding","Anklet (IRE)","Acclamation","76",
