Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Agar, Mr Josh","0","0","0","0","0","0","9","1","1","11.11","11.11","-1","337","4","4","1","1","25","25","4","1","0","0","0","0","-1","9","1","1","11.11","11.11","-1",
"Allan, David","50","5","20","10","40","-31.75","1290","145","404","11.24","31.32","-319.66","3","9","698","68","208","9.74","29.8","-150.07","191","65","118","34.03","34.03","13.01","980","127","326","12.96","12.96","-117.28",
"Anderson, Mr A","5","0","0","0","0","-5","244","12","38","4.92","15.57","-146.5","17","9","140","8","20","5.71","14.29","-69.5","7","2","3","28.57","28.57","-1","178","10","32","5.62","5.62","-93",
"Bannister, Harry A A","8","1","2","12.5","25","-2.5","510","67","174","13.14","34.12","-79.75","3","4","170","17","55","10","32.35","-41.07","92","26","53","28.26","28.26","-23.17","322","46","115","14.29","14.29","-4.45",
"Barron, Mr R W","6","0","0","0","0","-6","104","4","25","3.85","24.04","-52","42","16","60","3","16","5","26.67","-34","6","0","3","0","0","-6","14","1","5","7.14","7.14","-6",
"Beasley, Connor","46","5","16","10.87","34.78","-5.79","1451","176","494","12.13","34.05","-139.27","6","15","760","79","254","10.39","33.42","-176.52","211","57","121","27.01","27.01","-27.91","1037","131","364","12.63","12.63","-46.66",
"Bellamy, Tom","14","2","6","14.29","42.86","-3","856","98","270","11.45","31.54","-271.55","3","1","453","47","136","10.38","30.02","-144.86","81","33","49","40.74","40.74","4.08","521","61","166","11.71","11.71","-170.36",
"Bird, Sean","3","1","1","33.33","33.33","26","93","2","6","2.15","6.45","-35","5","2","52","1","4","1.92","7.69","-23","2","0","0","0","0","-2","68","2","4","2.94","2.94","-10",
"Bishop, Charles","25","3","9","12","36","-5.67","680","63","179","9.26","26.32","-218.81","7","14","380","44","112","11.58","29.47","-129.69","64","20","39","31.25","31.25","-10.93","408","32","96","7.84","7.84","-125.82",
"Bloss, Minty","0","0","0","0","0","0","3","0","0","0","0","-3","9999","9999","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","-3",
"Boinville, Nico","9","3","6","33.33","66.67","-1.77","609","134","233","22","38.26","-12.88","3","3","273","65","112","23.81","41.03","-14.43","196","83","115","42.35","42.35","-4.54","302","56","100","18.54","18.54","75.05",
"Bowen, S D","10","1","3","10","30","2","281","14","56","4.98","19.93","-94.25","1","1","183","10","36","5.46","19.67","-41.25","15","3","6","20","20","-7","225","10","41","4.44","4.44","-80.25",
"Bowen, Sean P","37","11","14","29.73","37.84","-6.35","1200","232","449","19.33","37.42","48.08","1","3","674","129","255","19.14","37.83","125.06","287","116","176","40.42","40.42","-12.87","780","137","272","17.56","17.56","-50.61",
"Brace, Connor","4","2","2","50","50","-1.57","358","55","103","15.36","28.77","55","1","1","174","30","52","17.24","29.89","-11.53","39","19","26","48.72","48.72","12.87","198","33","59","16.67","16.67","61.27",
"Bradley, Paddy","12","1","5","8.33","41.67","-5.5","189","15","49","7.94","25.93","-52.17","10","8","187","15","49","8.02","26.2","-50.17","10","0","3","0","0","-10","144","14","43","9.72","9.72","-10.67",
"Brooke, Henry","18","3","5","16.67","27.78","-0.37","673","85","212","12.63","31.5","-216.63","1","1","380","59","131","15.53","34.47","-86.41","86","29","52","33.72","33.72","-3.07","443","66","152","14.9","14.9","-123.58",
"Brotherton, Miss S","0","0","0","0","0","0","75","9","25","12","33.33","-36.49","147","5","37","4","11","10.81","29.73","-19.12","18","6","12","33.33","33.33","1.01","75","9","25","12","12","-36.49",
"Brouder, Gavin","5","0","1","0","20","-5","287","18","53","6.27","18.47","-19.42","89","26","157","7","27","4.46","17.2","-71.12","9","2","3","22.22","22.22","-2.3","186","12","37","6.45","6.45","-17.3",
"Buckley, Kieran","14","2","2","14.29","14.29","5.5","399","37","111","9.27","27.82","-147.9","4","1","299","24","81","8.03","27.09","-129.72","45","15","30","33.33","33.33","3.1","244","25","71","10.25","10.25","-50.24",
"Burns, Harry","9","0","3","0","33.33","-9","384","47","109","12.24","28.39","-106.38","21","17","191","26","60","13.61","31.41","-49.08","41","10","23","24.39","24.39","-11.71","311","37","90","11.9","11.9","-71.62",
"Caffrey, Adam","21","3","4","14.29","19.05","28","330","30","78","9.09","23.64","-43.01","1","3","258","28","67","10.85","25.97","-14.01","26","7","13","26.92","26.92","-0.67","272","26","63","9.56","9.56","-8.59",
"Callan, N","50","8","16","16","32","-17.2","750","109","261","14.53","34.8","104.59","2","4","512","78","182","15.23","35.55","62.67","112","34","67","30.36","30.36","-10.76","491","75","177","15.27","15.27","70.47",
"Cameron, Tyrese","1","1","1","100","100","3.33","26","3","9","11.54","34.62","-9.92","10","1","26","3","9","11.54","34.62","-9.92","3","1","2","33.33","33.33","1.33","26","3","9","11.54","11.54","-9.92",
"Canavan, Jordan J","0","0","0","0","0","0","70","3","9","4.29","12.86","-56.17","444","33","13","0","2","0","15.38","-13","4","1","2","25","25","0.33","29","2","4","6.9","6.9","-19.5",
"Carberry, Peter","3","0","0","0","0","-3","315","10","43","3.17","13.65","-247.5","15","4","162","6","26","3.7","16.05","-120","13","3","5","23.08","23.08","-1.5","155","8","33","5.16","5.16","-104",
"Carroll, G F","35","8","11","22.86","31.43","22.26","949","93","242","9.8","25.5","-208.37","4","10","476","53","124","11.13","26.05","-62.12","86","28","52","32.56","32.56","18.5","507","57","142","11.24","11.24","-31.3",
"Carson, William","22","0","5","0","22.73","-22","793","37","132","4.67","16.65","-383.29","17","27","392","16","70","4.08","17.86","-240.9","35","12","19","34.29","34.29","0.46","591","32","108","5.41","5.41","-211.05",
"Carver, William","9","0","1","0","11.11","-9","315","30","71","9.52","22.54","-99.08","20","11","172","15","45","8.72","26.16","-57.12","29","5","12","17.24","17.24","-14.41","237","27","61","11.39","11.39","-40.58",
"Cleary, R P","27","1","5","3.7","18.52","-23","787","28","120","3.56","15.25","-450.25","4","8","385","16","63","4.16","16.36","-185.25","19","3","7","15.79","15.79","-8.75","452","21","77","4.65","4.65","-174.5",
"Coakley, Ross","22","4","6","18.18","27.27","-0.12","709","91","249","12.83","35.12","-160.6","8","10","406","48","140","11.82","34.48","-126.4","94","34","58","36.17","36.17","0.11","441","58","145","13.15","13.15","-85.55",
"Cobden, Harry","30","8","14","26.67","46.67","-4.38","946","231","415","24.42","43.87","-97.17","5","11","505","129","236","25.54","46.73","-47.68","290","135","181","46.55","46.55","6.28","529","99","198","18.71","18.71","-70.83",
"Coen, Ben M","44","3","9","6.82","20.45","-26.5","1007","95","274","9.43","27.21","-371.9","5","18","522","49","136","9.39","26.05","-232.69","113","37","71","32.74","32.74","5.39","516","49","127","9.5","9.5","-177.66",
"Colgan, R C","15","0","1","0","6.67","-15","696","30","106","4.31","15.23","-352.76","19","21","346","15","51","4.34","14.74","-210.34","17","3","10","17.65","17.65","-4.67","375","15","64","4","4","-165.17",
"Condon, R J","3","0","1","0","33.33","-3","271","15","64","5.54","23.62","-113.75","61","24","201","9","47","4.48","23.38","-131.75","13","3","8","23.08","23.08","-4.25","153","8","37","5.23","5.23","-67.75",
"Cosgrave, Pat","7","0","3","0","42.86","-7","688","82","229","11.92","33.28","-139.74","37","9","308","38","102","12.34","33.12","-44.72","83","30","55","36.14","36.14","0.52","491","57","170","11.61","11.61","-115.63",
